packet_number,lte-rrc.HandoverCommand_element,lte_rrc.3gpp_tmsi,lte_rrc.e212_assoc_imsi,lte_rrc.e212_gummei_mcc,lte_rrc.e212_gummei_mnc,lte_rrc.e212_imsi,lte_rrc.e212_mcc,lte_rrc.e212_mnc,lte_rrc.gsm_a_dtap_autn,lte_rrc.gsm_a_dtap_autn_amf,lte_rrc.gsm_a_dtap_autn_mac,lte_rrc.gsm_a_dtap_autn_sqn_xor_ak,lte_rrc.gsm_a_dtap_rand,lte_rrc.gsm_a_id_dig_1,lte_rrc.gsm_a_ie_mobileid_type,lte_rrc.gsm_a_l3_protocol_discriminator,lte_rrc.gsm_a_len,lte_rrc.gsm_a_oddevenind,lte_rrc.lte_rrc_accumulationenabled,lte_rrc.lte_rrc_acknackrepetition,lte_rrc.lte_rrc_betaoffset_ack_index,lte_rrc.lte_rrc_betaoffset_cqi_index,lte_rrc.lte_rrc_betaoffset_ri_index,lte_rrc.lte_rrc_c1,lte_rrc.lte_rrc_cqi_reportconfig_element,lte_rrc.lte_rrc_criticalextensions,lte_rrc.lte_rrc_dedicatedinfonas,lte_rrc.lte_rrc_dedicatedinfotype,lte_rrc.lte_rrc_defaultvalue_element,lte_rrc.lte_rrc_deltamcs_enabled,lte_rrc.lte_rrc_dl_ccch_message_element,lte_rrc.lte_rrc_dl_ccch_message_message,lte_rrc.lte_rrc_dl_dcch_message_element,lte_rrc.lte_rrc_dl_dcch_message_message,lte_rrc.lte_rrc_dl_pathlosschange,lte_rrc.lte_rrc_dlinformationtransfer_element,lte_rrc.lte_rrc_dlinformationtransfer_r8_element,lte_rrc.lte_rrc_explicitvalue_element,lte_rrc.lte_rrc_logicalchannelconfig,lte_rrc.lte_rrc_mac_mainconfig,lte_rrc.lte_rrc_mac_mainconfig_phr_config_setup_element,lte_rrc.lte_rrc_maxharq_tx,lte_rrc.lte_rrc_mmec,lte_rrc.lte_rrc_mmegi,lte_rrc.lte_rrc_p0_ue_pucch,lte_rrc.lte_rrc_p0_ue_pusch,lte_rrc.lte_rrc_p_a,lte_rrc.lte_rrc_pdsch_configdedicated_element,lte_rrc.lte_rrc_periodicbsr_timer,lte_rrc.lte_rrc_periodicphr_timer,lte_rrc.lte_rrc_phr_config,lte_rrc.lte_rrc_physicalconfigdedicated_element,lte_rrc.lte_rrc_prohibitphr_timer,lte_rrc.lte_rrc_psrs_offset,lte_rrc.lte_rrc_pucch_configdedicated_element,lte_rrc.lte_rrc_pusch_configdedicated_element,lte_rrc.lte_rrc_radioresourceconfigdedicated_element,lte_rrc.lte_rrc_registeredmme_element,lte_rrc.lte_rrc_release_element,lte_rrc.lte_rrc_retxbsr_timer,lte_rrc.lte_rrc_rlc_config,lte_rrc.lte_rrc_rrc_transactionidentifier,lte_rrc.lte_rrc_rrcconnectionsetup_element,lte_rrc.lte_rrc_rrcconnectionsetup_r8_element,lte_rrc.lte_rrc_rrcconnectionsetupcomplete_element,lte_rrc.lte_rrc_rrcconnectionsetupcomplete_r8_element,lte_rrc.lte_rrc_selectedplmn_identity,lte_rrc.lte_rrc_srb_identity,lte_rrc.lte_rrc_srb_toaddmod_element,lte_rrc.lte_rrc_srb_toaddmodlist,lte_rrc.lte_rrc_timealignmenttimerdedicated,lte_rrc.lte_rrc_ttibundling,lte_rrc.lte_rrc_ul_dcch_message_element,lte_rrc.lte_rrc_ul_dcch_message_message,lte_rrc.lte_rrc_ul_sch_config_element,lte_rrc.lte_rrc_ulinformationtransfer_element,lte_rrc.lte_rrc_ulinformationtransfer_r8_element,lte_rrc.lte_rrc_uplinkpowercontroldedicated_element,lte_rrc.nas_eps_ciphered_msg,lte_rrc.nas_eps_emm_128eea1,lte_rrc.nas_eps_emm_128eea2,lte_rrc.nas_eps_emm_128eia1,lte_rrc.nas_eps_emm_128eia2,lte_rrc.nas_eps_emm_cause,lte_rrc.nas_eps_emm_eea0,lte_rrc.nas_eps_emm_eea3,lte_rrc.nas_eps_emm_eea4,lte_rrc.nas_eps_emm_eea5,lte_rrc.nas_eps_emm_eea6,lte_rrc.nas_eps_emm_eea7,lte_rrc.nas_eps_emm_eia0,lte_rrc.nas_eps_emm_eia3,lte_rrc.nas_eps_emm_eia4,lte_rrc.nas_eps_emm_eia5,lte_rrc.nas_eps_emm_eia6,lte_rrc.nas_eps_emm_eps_att_type,lte_rrc.nas_eps_emm_eps_upip,lte_rrc.nas_eps_emm_id_type2,lte_rrc.nas_eps_emm_m_tmsi,lte_rrc.nas_eps_emm_mme_code,lte_rrc.nas_eps_emm_mme_grp_id,lte_rrc.nas_eps_emm_nas_key_set_id,lte_rrc.nas_eps_emm_odd_even,lte_rrc.nas_eps_emm_res,lte_rrc.nas_eps_emm_spare_half_octet,lte_rrc.nas_eps_emm_toc,lte_rrc.nas_eps_emm_toi,lte_rrc.nas_eps_emm_tsc,lte_rrc.nas_eps_emm_type_of_id,lte_rrc.nas_eps_emm_uea0,lte_rrc.nas_eps_emm_uea1,lte_rrc.nas_eps_emm_uea2,lte_rrc.nas_eps_emm_uea3,lte_rrc.nas_eps_emm_uea4,lte_rrc.nas_eps_emm_uea5,lte_rrc.nas_eps_emm_uea6,lte_rrc.nas_eps_emm_uea7,lte_rrc.nas_eps_emm_uia1,lte_rrc.nas_eps_msg_auth_code,lte_rrc.nas_eps_nas_msg_emm_type,lte_rrc.nas_eps_security_header_type,lte_rrc.nas_eps_seq_no,lte_rrc.nas_eps_spare_bits,lte_rrc.per_choice_index,lte_rrc.per_enum_index,lte_rrc.per_extension_bit,lte_rrc.per_octet_string_length,lte_rrc.per_optional_field_bit,lte_rrc.per_sequence_of_length
209,Mobile identity - IMSI (001011234567895),-1,001011234567895,-1,-1,001011234567895,001,011,-1,-1,-1,-1,-1,0,1,0x07,8,True,-1,-1,-1,-1,-1,9,-1,0,07:56:08:09:10:10:21:43:65:87:59,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,ulInformationTransfer,ulInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x56,0,-1,-1,0,-1,-1,11,False,-1
210,EMM cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,1,-1,0,07:44:0b,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1,0,-1,-1,3,False,-1
258,Item 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,0,6,6,6,3,cqi-ReportConfig,0,-1,-1,defaultValue: NULL,0,DL-CCCH-Message,0,-1,-1,1,-1,-1,explicitValue,1,0,setup,3,-1,-1,0,0,4,pdsch-ConfigDedicated,3,2,1,physicalConfigDedicated,0,3,pucch-ConfigDedicated,pusch-ConfigDedicated,radioResourceConfigDedicated,-1,release: NULL,0,1,0,rrcConnectionSetup,rrcConnectionSetup-r8,-1,-1,-1,1,SRB-ToAddMod,1,7,False,-1,-1,ul-SCH-Config,-1,-1,uplinkPowerControlDedicated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,False,-1,False,1
259,EPS mobile identity,-1,001011234567895,-1,-1,001011234567895,001,011,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,4,-1,0,07:41:72:08:09:10:10:21:43:65:87:59:04:f0:70:c0:40:00:2a:02:17:d0:31:d1:27:23:80:80:21:10:01:00:00:10:81:06:00:00:00:00:83:06:00:00:00:00:00:0d:00:00:03:00:00:0a:00:00:05:00:00:10:00:5c:0a:00:31:03:e5:e0:34:90:11:03:57:58:a6:5d:01:00:c1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,rrcConnectionSetupComplete,rrcConnectionSetupComplete-r8,1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,-1,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00,0,-1,-1,79,False,-1
260,Authentication Parameter RAND - EPS challenge,-1,-1,-1,-1,-1,-1,-1,70:de:b6:bb:94:8d:80:00:d4:2a:fc:a8:32:1a:8c:4c,80:00,d4:2a:fc:a8:32:1a:8c:4c,70:de:b6:bb:94:8d,49:d9:78:ab:c1:35:d7:0c:12:1f:01:67:e1:f3:34:72,-1,-1,0x07,16,-1,-1,-1,-1,-1,-1,1,-1,0,07:52:00:49:d9:78:ab:c1:35:d7:0c:12:1f:01:67:e1:f3:34:72:10:70:de:b6:bb:94:8d:80:00:d4:2a:fc:a8:32:1a:8c:4c,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x52,0,-1,-1,0,-1,-1,36,False,-1
261,Authentication response parameter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,9,-1,0,07:53:08:80:17:71:a0:4b:72:c4:8d,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,ulInformationTransfer,ulInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80:17:71:a0:4b:72:c4:8d,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x53,0,-1,-1,0,-1,-1,11,False,-1
303,Item 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,0,6,6,6,3,cqi-ReportConfig,0,-1,-1,defaultValue: NULL,0,DL-CCCH-Message,0,-1,-1,1,-1,-1,explicitValue,1,0,setup,3,-1,-1,0,0,4,pdsch-ConfigDedicated,3,2,1,physicalConfigDedicated,0,3,pucch-ConfigDedicated,pusch-ConfigDedicated,radioResourceConfigDedicated,-1,release: NULL,0,1,0,rrcConnectionSetup,rrcConnectionSetup-r8,-1,-1,-1,1,SRB-ToAddMod,1,7,False,-1,-1,ul-SCH-Config,-1,-1,uplinkPowerControlDedicated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,False,-1,False,1
304,EPS mobile identity,-1,001011234567895,-1,-1,001011234567895,001,011,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,4,-1,0,07:41:72:08:09:10:10:21:43:65:87:59:04:f0:70:c0:40:00:2a:02:18:d0:31:d1:27:23:80:80:21:10:01:00:00:10:81:06:00:00:00:00:83:06:00:00:00:00:00:0d:00:00:03:00:00:0a:00:00:05:00:00:10:00:5c:0a:00:31:03:e5:e0:34:90:11:03:57:58:a6:5d:01:00:c1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,rrcConnectionSetupComplete,rrcConnectionSetupComplete-r8,1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,-1,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00,0,-1,-1,79,False,-1
305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,1,-1,0,07:55:01,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x55,0,-1,-1,0,-1,-1,3,False,-1
306,Mobile identity - IMSI (001011234567895),-1,001011234567895,-1,-1,001011234567895,001,011,-1,-1,-1,-1,-1,0,1,0x07,8,True,-1,-1,-1,-1,-1,9,-1,0,07:56:08:09:10:10:21:43:65:87:59,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,ulInformationTransfer,ulInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x56,0,-1,-1,0,-1,-1,11,False,-1
307,EMM cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,1,-1,0,07:44:0a,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1,0,-1,-1,3,False,-1
345,Item 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,0,6,6,6,3,cqi-ReportConfig,0,-1,-1,defaultValue: NULL,0,DL-CCCH-Message,0,-1,-1,1,-1,-1,explicitValue,1,0,setup,3,-1,-1,0,0,4,pdsch-ConfigDedicated,3,2,1,physicalConfigDedicated,0,3,pucch-ConfigDedicated,pusch-ConfigDedicated,radioResourceConfigDedicated,-1,release: NULL,0,1,0,rrcConnectionSetup,rrcConnectionSetup-r8,-1,-1,-1,1,SRB-ToAddMod,1,7,False,-1,-1,ul-SCH-Config,-1,-1,uplinkPowerControlDedicated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,False,-1,False,1
346,EPS mobile identity,-1,001011234567895,-1,-1,001011234567895,001,011,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,4,-1,0,07:41:72:08:09:10:10:21:43:65:87:59:04:f0:70:c0:40:00:2a:02:19:d0:31:d1:27:23:80:80:21:10:01:00:00:10:81:06:00:00:00:00:83:06:00:00:00:00:00:0d:00:00:03:00:00:0a:00:00:05:00:00:10:00:5c:0a:00:31:03:e5:e0:34:90:11:03:57:58:a6:5d:01:00:c1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,rrcConnectionSetupComplete,rrcConnectionSetupComplete-r8,1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,-1,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00,0,-1,-1,79,False,-1
388,Item 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,0,6,6,6,3,cqi-ReportConfig,0,-1,-1,defaultValue: NULL,0,DL-CCCH-Message,0,-1,-1,1,-1,-1,explicitValue,1,0,setup,3,-1,-1,0,0,4,pdsch-ConfigDedicated,3,2,1,physicalConfigDedicated,0,3,pucch-ConfigDedicated,pusch-ConfigDedicated,radioResourceConfigDedicated,-1,release: NULL,0,1,0,rrcConnectionSetup,rrcConnectionSetup-r8,-1,-1,-1,1,SRB-ToAddMod,1,7,False,-1,-1,ul-SCH-Config,-1,-1,uplinkPowerControlDedicated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,False,-1,False,1
389,EPS mobile identity,-1,001011234567895,-1,-1,001011234567895,001,011,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,4,-1,0,07:41:72:08:09:10:10:21:43:65:87:59:04:f0:70:c0:40:00:2a:02:1a:d0:31:d1:27:23:80:80:21:10:01:00:00:10:81:06:00:00:00:00:83:06:00:00:00:00:00:0d:00:00:03:00:00:0a:00:00:05:00:00:10:00:5c:0a:00:31:03:e5:e0:34:90:11:03:57:58:a6:5d:01:00:c1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,rrcConnectionSetupComplete,rrcConnectionSetupComplete-r8,1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,-1,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00,0,-1,-1,79,False,-1
390,Authentication Parameter RAND - EPS challenge,-1,-1,-1,-1,-1,-1,-1,ed:32:5f:ef:bb:39:80:00:99:77:5e:c8:55:d7:36:81,80:00,99:77:5e:c8:55:d7:36:81,ed:32:5f:ef:bb:39,60:c3:0f:97:05:49:f4:89:db:6f:56:dd:e6:d9:5a:30,-1,-1,0x07,16,-1,-1,-1,-1,-1,-1,1,-1,0,07:52:00:60:c3:0f:97:05:49:f4:89:db:6f:56:dd:e6:d9:5a:30:10:ed:32:5f:ef:bb:39:80:00:99:77:5e:c8:55:d7:36:81,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x52,0,-1,-1,0,-1,-1,36,False,-1
391,Authentication response parameter,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,9,-1,0,07:53:08:c9:bc:d4:d3:8b:d3:0d:45,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,ulInformationTransfer,ulInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c9:bc:d4:d3:8b:d3:0d:45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x53,0,-1,-1,0,-1,-1,11,False,-1
393,NAS security algorithms - Selected NAS security algorithms,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,5,-1,-1,-1,-1,-1,-1,1,-1,0,37:a5:f5:47:e4:00:07:5d:11:00:05:f0:70:c0:40:70,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,-1,False,-1,-1,-1,-1,0,-1,-1,0,1,1,False,-1,True,True,False,False,False,False,False,False,True,0xa5f547e4,0x5d,3,0,0x00,0,-1,-1,16,False,-1
394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,9,-1,0,47:e0:7b:4a:56:00:94:fe,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,ulInformationTransfer,ulInformationTransfer-r8,-1,94:fe,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0xe07b4a56,-1,4,0,-1,0,-1,-1,8,False,-1
395,EMM cause,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,1,-1,0,07:44:0a,0,-1,-1,-1,-1,DL-DCCH-Message,0,-1,dlInformationTransfer,dlInformationTransfer-r8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1,0,-1,-1,3,False,-1
434,Item 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,0,6,6,6,3,cqi-ReportConfig,0,-1,-1,defaultValue: NULL,0,DL-CCCH-Message,0,-1,-1,1,-1,-1,explicitValue,1,0,setup,3,-1,-1,0,0,4,pdsch-ConfigDedicated,3,2,1,physicalConfigDedicated,0,3,pucch-ConfigDedicated,pusch-ConfigDedicated,radioResourceConfigDedicated,-1,release: NULL,0,1,0,rrcConnectionSetup,rrcConnectionSetup-r8,-1,-1,-1,1,SRB-ToAddMod,1,7,False,-1,-1,ul-SCH-Config,-1,-1,uplinkPowerControlDedicated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,False,-1,False,1
435,EPS mobile identity,-1,001011234567895,-1,-1,001011234567895,001,011,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,4,-1,0,17:3b:35:eb:5d:01:07:41:02:08:09:10:10:21:43:65:87:59:04:f0:70:c0:40:00:2a:02:1b:d0:31:d1:27:23:80:80:21:10:01:00:00:10:81:06:00:00:00:00:83:06:00:00:00:00:00:0d:00:00:03:00:00:0a:00:00:05:00:00:10:00:5c:0a:00:31:03:e5:e0:34:90:11:03:57:58:a6:5d:01:00:c1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,rrcConnectionSetupComplete,rrcConnectionSetupComplete-r8,1,-1,-1,-1,-1,-1,UL-DCCH-Message,0,-1,-1,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,0,True,-1,-1,-1,-1,False,1,True,True,False,False,False,-1,-1,-1,-1,0x3b35eb5d,0x41,1,1,0x00,0,-1,-1,85,False,-1
