packet_number,lte.3gpp_tmsi,lte.e212_assoc_imsi,lte.e212_imsi,lte.gsm_a_dtap_autn,lte.gsm_a_dtap_autn_amf,lte.gsm_a_dtap_autn_mac,lte.gsm_a_dtap_autn_sqn_xor_ak,lte.gsm_a_dtap_rand,lte.gsm_a_id_dig_1,lte.gsm_a_ie_mobileid_type,lte.gsm_a_l3_protocol_discriminator,lte.gsm_a_len,lte.gsm_a_oddevenind,lte.lte_rrc_systemtimeinfo_element,lte.nas_eps_ciphered_msg,lte.nas_eps_emm_128eea1,lte.nas_eps_emm_128eea2,lte.nas_eps_emm_128eia1,lte.nas_eps_emm_128eia2,lte.nas_eps_emm_cause,lte.nas_eps_emm_eea0,lte.nas_eps_emm_eea3,lte.nas_eps_emm_eea4,lte.nas_eps_emm_eea5,lte.nas_eps_emm_eea6,lte.nas_eps_emm_eea7,lte.nas_eps_emm_eia0,lte.nas_eps_emm_eia3,lte.nas_eps_emm_eia4,lte.nas_eps_emm_eia5,lte.nas_eps_emm_eia6,lte.nas_eps_emm_eps_att_type,lte.nas_eps_emm_eps_upip,lte.nas_eps_emm_id_type2,lte.nas_eps_emm_m_tmsi,lte.nas_eps_emm_mme_code,lte.nas_eps_emm_mme_grp_id,lte.nas_eps_emm_nas_key_set_id,lte.nas_eps_emm_odd_even,lte.nas_eps_emm_res,lte.nas_eps_emm_spare_half_octet,lte.nas_eps_emm_toc,lte.nas_eps_emm_toi,lte.nas_eps_emm_tsc,lte.nas_eps_emm_type_of_id,lte.nas_eps_emm_uea0,lte.nas_eps_emm_uea1,lte.nas_eps_emm_uea2,lte.nas_eps_emm_uea3,lte.nas_eps_emm_uea4,lte.nas_eps_emm_uea5,lte.nas_eps_emm_uea6,lte.nas_eps_emm_uea7,lte.nas_eps_emm_uia1,lte.nas_eps_msg_auth_code,lte.nas_eps_nas_msg_emm_type,lte.nas_eps_security_header_type,lte.nas_eps_seq_no,lte.nas_eps_spare_bits
306,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,0,1,0x07,8,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x56,0,-1,-1
307,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
346,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00
389,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,7,True,-1,-1,-1,-1,False,1,True,True,False,False,False,False,False,-1,-1,-1,0x41,0,-1,0x00
390,-1,-1,-1,ed:32:5f:ef:bb:39:80:00:99:77:5e:c8:55:d7:36:81,80:00,99:77:5e:c8:55:d7:36:81,ed:32:5f:ef:bb:39,60:c3:0f:97:05:49:f4:89:db:6f:56:dd:e6:d9:5a:30,-1,-1,0x07,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x52,0,-1,-1
391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,c9:bc:d4:d3:8b:d3:0d:45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x53,0,-1,-1
393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,5,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,-1,False,-1,-1,-1,-1,0,-1,-1,0,1,1,False,-1,True,True,False,False,False,False,False,False,True,0xa5f547e4,0x5d,3,0,0x00
394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,94:fe,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0xe07b4a56,-1,4,0,-1
395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
435,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,0,True,-1,-1,-1,-1,False,1,True,True,False,False,False,-1,-1,-1,-1,0x3b35eb5d,0x41,1,1,0x00
475,-1,001011234567895,001011234567895,-1,-1,-1,-1,-1,-1,-1,0x07,8,-1,-1,-1,True,True,True,True,-1,True,True,False,False,False,False,False,True,False,False,False,2,False,-1,-1,-1,-1,0,True,-1,-1,-1,-1,False,1,True,True,False,False,False,-1,-1,-1,-1,0xfff083f9,0x41,1,2,0x00
476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x07,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x44,0,-1,-1
